address,comp_accrued,comp_claimed
0x554bd2947df1c8d8d38897bdc92b3b97692b2845,79735.21534,79735.21534
0xccb06b8026cb33ee501476af87d5ccaf56883112,61616.83012,61569.42522
0x2bdded18e2ca464355091266b7616956944ee7ee,50349.23106,50349.23106
0x3ba21b6477f48273f41d241aa3722ffb9e07e247,27088.73893,27088.73808
0xe6c78b85f93c25b8ee7d963fd15d1d53a00f5908,24488.54329,24488.54329
0x7e6f6621388047c8a481d963210b514dbd5ea1b9,22143.58505,22137.61842
0x6341c289b2e0795a04223df04b53a77970958723,19517.94991,19517.94991
0x909b443761bbd7fbb876ecde71a37e1433f6af6f,17733.66016,17733.65843
0x4031afd3b0f71bace9181e554a9e680ee4abe7df,15331.87502,15331.87502
0xa2b47e3d5c44877cca798226b7b8118f9bfb7a56,13516.88408,6673.265005
0x8aceab8167c80cb8b3de7fa6228b889bb1130ee8,13310.12946,7829.774612
0x25599dcbd434af9a17d52444f71c92987fa97cfc,11660.43076,11660.43076
0x58485ea7106891bdd94c37ced30c6fdbc5293b16,11387.09528,11387.09528
0x41d207bc7e5d1f44aaf572d4a06cd0ef1ea2b01b,10813.12256,10813.12256
0x4d7d4485fd600c61d840ccbec328bfd76a050f87,10108.73593,10108.73593
0x964d9d1a532b5a5daeacbac71d46320de313ae9c,9712.796386,9712.796386
0x86af94e5e8d3d583575bbafdd2dcb6b898a555e4,9611.07797,9611.077146
0x9b4772e59385ec732bccb06018e318b7b3477459,9204.316187,9204.316187
0x1d1e63975486dfa6e7f28448ae224c9f41588642,9169.31424,9169.31424
0x0eb4add4ba497357546da7f5d12d39587ca24606,9080.606122,9057.407589
0x32b2d4ec46d76fc6dabfe958fb0e0bd8db740c84,9034.375022,9034.375022
0x10d88638be3c26f3a47d861b8b5641508501035d,8894.702506,8894.702506
0x57ca561798413a20508b6bc997481e784f3e6e5f,8733.326839,8733.318447
0x767ecb395def19ab8d1b2fcc89b3ddfbed28fd6b,8696.215358,8687.915566
0xc33d98e88682c883fe32b8f6620660692092d39f,8161.278359,7266.825074
0x99fd1378ca799ed6772fe7bcdc9b30b389518962,7827.887665,6895.599556
0x742fb193517619eecd6595ff106fce2f45488ebf,7530.616884,7530.616884
0x4c81ac8a069122d2a7146b08818fbaddcb2ff1f0,7527.965565,7527.965565
0x4960170d73f32f6e28302cd3f356e284034f2880,7472.662307,7383.597855
0xe68a8565b4f837bda10e2e917bfaaa562e1cd143,7215.215009,7215.215009
0xedcc13d25e23032b61d30c298334f92d7c0ba84e,7091.45298,7091.45298
0x638e9ad05dbd35b1c19df3a4eaa0642a3b90a2ad,7089.05393,7089.05393
0xf7bcd7bb00f4d081775fedef64e92017a10d4b25,7025.393668,7025.393668
0x926e78b8df67e129011750dd7b975f8e50d3d7ad,6760.64355,6760.64355
0x77b7cd137dd9d94e7056f78308d7f65d2ce68910,6659.778071,6659.778071
0x7d6149ad9a573a6e2ca6ebf7d4897c1b766841b4,6599.566812,6372.319656
0xd31ab5ab8cd0f482f5728888519b5c39b5a4a6a0,6466.531875,6466.296276
0x4deb3edd991cfd2fcdaa6dcfe5f1743f6e7d16a6,6329.394065,6225.292655
0x79dbd1baf124edd4205b2aba56c29bf3914c8ed0,6202.393617,6202.393617
0x52185a2bbcfd67c1d07963e3575175ee9f95a551,6183.241509,5442.821625
0xb1adceddb2941033a090dd166a462fe1c2029484,6119.440556,6119.440556
0x763bf487d386afbf9c476e047d37b74636b9e831,6119.108277,6119.108277
0x7146d797a9e8eb8c1b153c01aebccba2dc695044,6109.209203,6091.964935
0xcfc50541c3deaf725ce738ef87ace2ad778ba0c5,6002.365467,6002.365467
0xea61f3052753ea2c6a1c208583ad9b0394ed2f28,5928.542234,5928.542234
0x2cc308d515a73690ba58ed637d1b20b4b7324fcd,5927.212895,5927.212895
0x4c232fdbe114a597531ff29bc79c72faa0698a55,5836.862546,5836.862546
0x45f754bf6598e539ab97bc981044665095708568,5762.76196,5762.76196
0x2f89f40485f32276434a4ebe29a5d3a4b04cc1b0,5645.957184,5645.957184
0x2341fb17fe2435760ac531a3a411ee16116351f2,5231.747794,5231.747794
0xe4bed3988b25eb625466102f2d0bea1c9fafcd86,5183.281029,5183.281029
0x18a7726db7acec07e00f0542ec22aeba610beb9f,4919.918848,4919.918848
0xab0aed73cdf40af99fd578f8fd72c295b45a9cb1,4912.809262,4912.809262
0x25a033316752ac9e443a10be07fa56c125b93c29,4855.730462,4855.471118
0x9fe9dc57bf733bdafd0d6d4610d2d671f8dc974f,4829.257194,4829.257194
0x3aa39dff4964043a61d94029fcedaac2f02f3187,4741.52738,4741.52738
0x1f99aaa8b4fb631d25b38b8a9099ef8f2611e46b,4708.095532,4708.095532
0x53bd12031e4cd6af14c91d4122152ead80ccb342,4616.315777,4616.315777
0x41122f2bf6edc3dfb6bf148000e3900c28d38004,4530.591646,4530.591646
0xac6559df1f410feba9a6cbf395272189461d8463,4457.895293,4457.895293
0xc0176faa0e20dff3cb6b810aeae64ef271b1b64b,4452.547722,4452.547722
0x716034c25d9fb4b38c837afe417b7f2b9af3e9ae,4324.946651,2901.763777
0x96d480f112fcb02f0be233bfbdac12434412148c,4184.032884,4184.032884
0x84c35f982496982b916f15d21026bc8d1d3cbc59,4153.267339,4104.73213
0x49b357c9acaa84a0cb978571b642b825e964b2cc,4027.809792,4027.809792
0x712d0f306956a6a4b4f9319ad9b9de48c5345996,3954.497018,13811.93414
0xd779bb0f68f54f7521aa5b35dd88352771843764,3934.11554,3934.11554
0x62ea2ace7a7861394f4a38b84d119498dbbb022c,3795.646484,3795.646484
0xbcdd2a069a46e9b5d032d2f99725418508ce6aee,3776.213464,3058.51313
0x3ddfa8ec3052539b6c9549f12cea2c295cff5296,3659.656739,3660.089163
0xda3059e065781976845359154cc3aae1d0e99289,3634.539704,3630.299774
0xb1e9d641249a2033c37cf1c241a01e717c2f6c76,3511.937696,3511.517024
0x1676055fe954ee6fc388f9096210e5ebe0a9070c,3497.171404,3497.171404
0x6d2af065ccb60c0f7e8ec5907c961c42a3447127,3247.794801,3247.794801
0x0bcbab2fecc30b7341132b4ebb36d352e035f1bd,3214.877134,3214.877134
0x1d853463931c3bcfd5e65886a7821390b9517928,3044.483517,3044.318709
